Farm_ID,Sector,Species,State,Farm_Age_Years,Farm_Area_Acres,Water_Temperature_C,Water_pH,Dissolved_Oxygen_mg_L,Ammonia_mg_L,Stocking_Density_Animals_Per_Acre,Feed_Quantity_kg_Per_Day,Feed_Quality_Score,Rainfall_mm,Humidity_Percent,Body_Condition_Score,Disease_Type,Disease_Onset,Mortality_Rate_Percent,Feed_Conversion_Ratio,Daily_Feed_Cost,Productivity_Score,Water_Quality_Score,Disease_Risk_Score,Disease_Risk_Level
F0001,Aquaculture,Pangasius,West Bengal,1,7.6,24.8,7.15,5.25,0.19,114.8,101.9,93.5,23.2,69.2,2.8,Bacterial Infection,1,10.6,2.16,114.7,100.0,79.4,75.2,High
F0002,Livestock,Cattle,Tamil Nadu,7,17.5,,,,,11.3,36.6,97.4,96.6,94.0,2.4,No Disease,0,1.2,2.03,40.39,100.0,,44.6,Medium
F0003,Aquaculture,Rohu,Tamil Nadu,1,13.0,25.6,7.84,6.72,0.06,73.9,81.9,71.2,3.6,68.8,2.5,No Disease,0,2.3,1.61,126.39,100.0,89.9,67.3,High
F0004,Aquaculture,Catla,Karnataka,6,5.5,33.9,8.31,4.76,0.6,57.9,85.3,70.6,116.3,79.5,2.9,No Disease,0,1.5,1.41,95.73,100.0,65.3,71.5,High
F0005,Aquaculture,Shrimp,Tamil Nadu,5,19.5,28.1,7.38,5.47,0.24,55.7,111.5,96.7,155.8,90.1,2.6,No Disease,0,2.1,1.59,162.49,100.0,94.6,53.3,Medium
F0006,Livestock,Buffalo,Telangana,2,14.2,,,,,29.3,26.7,76.8,43.6,51.1,3.4,No Disease,0,4.3,1.6,27.67,100.0,,50.5,Medium
F0007,Aquaculture,Tilapia,Tamil Nadu,1,18.8,26.5,8.18,6.31,0.38,123.4,128.5,72.7,62.8,95.0,4.1,No Disease,0,2.3,1.47,147.13,100.0,89.4,98.1,High
F0008,Aquaculture,Catla,Tamil Nadu,5,8.2,27.7,7.86,4.61,0.35,62.9,57.8,90.0,119.7,77.5,2.9,No Disease,0,1.6,1.68,75.23,100.0,98.1,51.7,Medium
F0009,Aquaculture,Shrimp,Karnataka,5,4.6,28.8,7.69,6.03,0.07,166.9,163.6,60.0,169.2,82.0,2.8,Parasitic Infection,1,12.8,2.21,280.59,89.2,95.5,100.0,High
F0010,Livestock,Cattle,West Bengal,5,12.7,,,,,58.0,47.2,61.2,36.8,82.8,3.1,Respiratory Infection,1,4.2,1.9,67.15,100.0,,100.0,High
F0011,Aquaculture,Catla,Karnataka,3,23.4,30.4,8.29,6.59,0.44,116.0,77.9,69.9,32.7,94.1,3.5,No Disease,0,2.3,1.93,116.01,100.0,83.5,98.4,High
F0012,Aquaculture,Catla,Tamil Nadu,7,10.9,26.5,8.45,4.57,0.19,66.1,212.6,69.3,56.1,64.8,3.5,No Disease,0,2.9,1.34,315.28,100.0,86.2,67.2,High
F0013,Aquaculture,Tilapia,Karnataka,2,16.9,27.4,8.11,6.47,0.16,103.3,71.7,74.5,25.4,62.6,3.2,No Disease,0,3.6,1.12,107.97,100.0,93.9,71.3,High
F0014,Aquaculture,Shrimp,Tamil Nadu,7,13.7,26.0,7.72,5.2,0.27,123.4,35.4,87.2,37.8,93.6,2.5,White Spot Disease,1,21.6,1.6,37.26,77.7,91.0,100.0,High
F0015,Livestock,Sheep,Telangana,7,16.8,,,,,41.1,30.8,87.9,18.5,62.7,2.0,No Disease,1,10.7,2.48,51.91,95.4,,62.4,Medium
F0016,Aquaculture,Shrimp,Karnataka,5,4.4,23.9,7.97,5.23,0.12,123.3,98.0,79.5,159.7,78.9,3.8,No Disease,0,3.9,1.53,173.47,100.0,81.6,78.4,High
F0017,Livestock,Buffalo,Karnataka,4,16.0,,,,,6.0,7.0,63.9,4.8,54.6,3.4,No Disease,0,0.3,1.8,8.86,100.0,,57.6,Medium
F0018,Livestock,Cattle,Telangana,5,10.7,,,,,37.7,19.1,95.8,137.4,52.4,4.1,No Disease,0,1.1,1.99,22.69,100.0,,33.6,Low
F0019,Livestock,Cattle,Andhra Pradesh,6,20.9,,,,,15.5,50.4,97.3,94.6,54.1,2.5,No Disease,0,0.0,2.14,69.95,100.0,,26.6,Low
F0020,Aquaculture,Pangasius,Tamil Nadu,4,18.3,32.1,8.59,4.2,0.33,168.0,116.3,71.5,93.4,57.0,2.4,No Disease,0,0.0,1.55,152.52,100.0,74.1,90.5,High
F0021,Livestock,Goat,Andhra Pradesh,1,9.4,,,,,76.2,25.0,96.0,24.3,70.6,2.5,No Disease,0,1.9,1.74,33.3,100.0,,43.5,Medium
F0022,Aquaculture,Shrimp,Tamil Nadu,7,20.4,32.9,7.78,3.64,0.2,154.7,203.9,84.9,49.0,80.4,2.9,No Disease,1,4.1,1.76,292.29,100.0,76.6,100.0,High
F0023,Livestock,Poultry,West Bengal,7,8.1,,,,,56.9,51.3,65.7,88.1,56.7,4.5,Parasitic Infection,1,9.0,2.48,52.52,100.0,,88.5,High
F0024,Livestock,Buffalo,Tamil Nadu,2,18.4,,,,,36.6,48.1,87.0,9.9,69.1,3.2,No Disease,0,0.6,2.69,77.9,100.0,,42.2,Medium
F0025,Livestock,Sheep,West Bengal,5,10.2,,,,,47.9,48.6,78.2,119.1,84.1,3.2,No Disease,0,1.8,2.0,48.61,100.0,,65.1,High
F0026,Livestock,Goat,Andhra Pradesh,6,1.1,,,,,10.3,2.6,57.3,15.9,47.0,3.1,No Disease,0,1.2,1.83,3.55,100.0,,65.3,High
F0027,Livestock,Poultry,West Bengal,5,3.1,,,,,31.6,18.7,67.7,42.0,47.2,1.8,No Disease,0,0.4,2.17,31.13,100.0,,60.2,Medium
F0028,Livestock,Goat,Telangana,3,20.8,,,,,72.8,59.4,87.0,11.7,66.3,4.1,No Disease,0,1.4,1.87,60.93,100.0,,51.2,Medium
F0029,Livestock,Poultry,West Bengal,5,13.9,,,,,9.3,58.2,93.0,167.0,97.7,2.3,No Disease,0,0.7,2.12,91.44,100.0,,51.5,Medium
F0030,Livestock,Cattle,Telangana,4,9.9,,,,,72.1,51.9,74.7,70.4,59.5,3.1,No Disease,0,2.0,1.95,78.61,100.0,,63.3,Medium
F0031,Aquaculture,Rohu,Karnataka,1,4.8,27.9,8.7,4.68,0.28,159.2,133.9,75.7,106.6,90.5,2.9,No Disease,0,2.9,1.39,219.32,100.0,88.8,100.0,High
F0032,Aquaculture,Shrimp,West Bengal,6,8.8,25.1,7.43,4.27,0.35,163.4,241.1,75.0,158.2,55.2,4.0,No Disease,0,0.8,1.61,278.35,100.0,84.0,85.9,High
F0033,Livestock,Cattle,West Bengal,6,23.5,,,,,52.4,17.1,82.3,97.2,86.3,2.1,No Disease,0,2.7,1.64,28.26,100.0,,63.8,Medium
F0034,Livestock,Sheep,West Bengal,3,20.7,,,,,10.1,19.5,85.5,12.1,75.9,2.7,No Disease,1,4.8,2.54,29.85,100.0,,61.7,Medium
F0035,Livestock,Goat,Karnataka,6,4.2,,,,,23.9,2.1,61.8,84.3,95.0,2.1,No Disease,0,1.0,2.22,3.33,100.0,,84.2,High
F0036,Aquaculture,Rohu,Tamil Nadu,4,5.5,29.6,7.75,7.05,0.14,95.7,83.1,97.3,73.7,93.4,2.6,No Disease,0,0.1,1.71,140.56,100.0,93.0,65.3,High
F0037,Livestock,Cattle,Andhra Pradesh,6,17.5,,,,,11.8,10.9,74.5,95.5,45.9,4.0,No Disease,0,1.3,1.66,10.91,100.0,,48.4,Medium
F0038,Aquaculture,Catla,Andhra Pradesh,3,12.5,24.3,7.96,5.64,0.14,85.6,155.8,73.6,177.2,61.4,3.2,No Disease,0,3.8,1.58,274.54,100.0,83.3,67.8,High
F0039,Aquaculture,Shrimp,Telangana,2,20.7,28.0,7.22,6.7,0.41,118.4,22.2,69.0,93.2,58.8,2.9,White Spot Disease,1,5.5,1.75,32.28,100.0,92.8,100.0,High
F0040,Aquaculture,Tilapia,Tamil Nadu,7,13.6,31.5,8.26,5.26,0.18,139.3,220.3,85.7,144.3,69.6,4.0,No Disease,1,15.9,1.84,300.02,87.9,80.5,89.1,High
F0041,Aquaculture,Tilapia,Tamil Nadu,3,3.0,32.2,7.57,6.93,0.45,107.1,161.6,69.1,84.6,87.0,4.2,No Disease,0,0.0,1.67,231.73,100.0,79.2,91.3,High
F0042,Aquaculture,Rohu,Karnataka,2,15.3,26.7,7.91,6.29,0.24,141.8,190.8,73.3,62.3,71.0,4.5,No Disease,1,3.0,2.16,301.5,100.0,93.5,100.0,High
F0043,Livestock,Sheep,Karnataka,6,24.3,,,,,36.6,18.1,80.5,164.2,56.2,3.5,No Disease,0,2.0,2.07,20.38,100.0,,48.7,Medium
F0044,Livestock,Poultry,West Bengal,5,8.8,,,,,69.1,30.6,65.6,156.7,68.6,3.2,No Disease,0,1.9,1.98,36.13,100.0,,71.7,High
F0045,Livestock,Sheep,Andhra Pradesh,1,5.0,,,,,14.8,58.2,74.5,42.5,48.9,2.3,No Disease,0,0.0,1.89,83.34,100.0,,49.2,Medium
F0046,Livestock,Sheep,Andhra Pradesh,7,6.5,,,,,33.5,37.1,70.3,96.0,86.4,3.7,No Disease,0,1.0,2.01,62.72,100.0,,71.2,High
F0047,Livestock,Buffalo,Tamil Nadu,2,9.2,,,,,8.0,9.1,74.4,168.1,61.8,3.2,No Disease,0,1.6,2.11,14.63,100.0,,47.6,Medium
F0048,Aquaculture,Catla,Andhra Pradesh,4,3.7,26.2,8.05,5.8,0.16,61.9,73.9,96.4,46.0,83.5,4.4,No Disease,0,3.0,1.36,125.02,100.0,89.8,49.9,Medium
F0049,Livestock,Cattle,West Bengal,7,18.7,,,,,56.7,41.2,64.3,118.6,65.9,3.6,No Disease,0,2.5,1.94,63.76,100.0,,69.9,High
F0050,Livestock,Sheep,West Bengal,7,16.1,,,,,53.8,46.4,94.8,78.9,92.8,4.2,No Disease,0,0.0,1.78,67.48,100.0,,56.9,Medium
F0051,Aquaculture,Tilapia,Karnataka,5,20.5,32.0,7.38,4.21,0.08,73.3,105.8,64.8,13.2,80.9,3.7,No Disease,0,3.5,1.39,149.74,100.0,79.0,82.2,High
F0052,Livestock,Cattle,Karnataka,5,12.5,,,,,33.5,25.1,79.9,96.0,77.2,3.9,No Disease,0,1.2,2.1,41.39,100.0,,54.2,Medium
F0053,Aquaculture,Rohu,Telangana,7,13.6,27.9,7.32,4.33,0.15,83.0,204.7,78.2,56.0,81.2,3.8,No Disease,0,1.8,1.42,316.24,100.0,93.8,71.5,High
F0054,Livestock,Cattle,Andhra Pradesh,2,6.1,,,,,47.5,16.9,96.4,87.0,87.7,3.3,No Disease,0,2.7,2.1,27.36,100.0,,49.6,Medium
F0055,Aquaculture,Tilapia,Andhra Pradesh,3,21.9,26.8,7.26,5.38,0.29,117.9,78.8,68.0,131.8,91.6,3.7,No Disease,0,1.6,1.25,88.44,100.0,88.7,98.8,High
F0056,Livestock,Cattle,West Bengal,2,10.7,,,,,21.3,7.6,56.0,115.6,77.2,3.3,No Disease,0,1.8,2.0,8.33,100.0,,75.1,High
F0057,Livestock,Poultry,Andhra Pradesh,7,2.7,,,,,58.8,42.2,97.6,23.1,50.5,3.8,No Disease,0,0.9,1.75,48.9,100.0,,37.1,Medium
